ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_mu_top2%mu
POOL-00019756,"InChI=1S/C13H7F3N2O5/c14-13(15,16)8-6-10(17(19)20)12(11(7-8)18(21)22)23-9-4-2-1-3-5-9/h1-7H",O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Oc1ccccc1,726.9455750709509,False,['17811-45-9'],1.8446022193
POOL-00016626,"InChI=1S/C13H9FN2O5S/c14-22(20,21)12-7-1-9(2-8-12)13(17)15-10-3-5-11(6-4-10)16(18)19/h1-8H,(H,15,17)",O=[N+]([O-])c1ccc(N=C(O)c2ccc(S(=O)(=O)F)cc2)cc1,829.7391005510736,False,['740-61-4'],1.8332391367
POOL-00022796,"InChI=1S/C12H14N2O6/c1-12(2,3)10-8(13(16)17)5-7(11(15)20-4)6-9(10)14(18)19/h5-6H,1-4H3",COC(=O)c1cc([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c1,553.0957231343,False,['61544-78-3'],1.8451295172
POOL-00031270,"InChI=1S/C16H16N2O6/c19-17(20)13-3-7-15(8-4-13)23-11-1-2-12-24-16-9-5-14(6-10-16)18(21)22/h3-10H,1-2,11-12H2",O=[N+]([O-])c1ccc(OCCCCOc2ccc([N+](=O)[O-])cc2)cc1,623.218752868866,False,['14467-68-6'],1.8006264135
,,,,,,
POOL-00008593,"InChI=1S/C12H10N2O3/c1-8-6-13-7-11(14-8)17-10-4-2-3-9(5-10)12(15)16/h2-7H,1H3,(H,15,16)",Cc1cncc(Oc2cccc(C(=O)O)c2)n1,554.9519342475284,False,['906352-96-3'],1.8517377909
POOL-00008596,"InChI=1S/C12H10N2O3/c1-8-6-13-7-11(14-8)17-10-4-2-9(3-5-10)12(15)16/h2-7H,1H3,(H,15,16)",Cc1cncc(Oc2ccc(C(=O)O)cc2)n1,537.7019342475284,False,['906353-00-2'],1.8633034011
POOL-00039861,"InChI=1S/C13H10N2O3/c16-13(10-6-2-1-3-7-10)14-11-8-4-5-9-12(11)15(17)18/h1-9H,(H,14,16)",O=[N+]([O-])c1ccccc1N=C(O)c1ccccc1,594.1951687899709,False,['728-90-5'],1.8599845494
POOL-00012024,"InChI=1S/C12H8BrNO3/c13-8-3-5-9(6-4-8)17-11-10(12(15)16)2-1-7-14-11/h1-7H,(H,15,16)",O=C(O)c1cccnc1Oc1ccc(Br)cc1,539.7019342475284,False,['61532-37-4'],1.8244667613
POOL-00026587,"InChI=1S/C12H11NO4/c1-7-10(12(14)15)11(13-17-7)8-3-5-9(16-2)6-4-8/h3-6H,1-2H3,(H,14,15)",COc1ccc(-c2noc(C)c2C(=O)O)cc1,542.1333138297033,False,['93041-45-3'],1.867293342
POOL-00006512,"InChI=1S/C13H8N2O2/c14-7-9-2-1-3-10(6-9)12-5-4-11(8-15-12)13(16)17/h1-6,8H,(H,16,17)",N#Cc1cccc(-c2ccc(C(=O)O)cn2)c1,597.5616818251149,False,['887975-97-5'],1.8399101263
POOL-00014976,"InChI=1S/C12H11NO4/c1-8-10(11(12(14)15)13-17-8)7-16-9-5-3-2-4-6-9/h2-6H,7H2,1H3,(H,14,15)",Cc1onc(C(=O)O)c1COc1ccccc1,518.5568281195697,False,['905809-10-1'],1.8546948745
POOL-00023292,"InChI=1S/C12H10N2O4/c1-8-4-5-9(10(7-8)14(16)17)13-12(15)11-3-2-6-18-11/h2-7H,1H3,(H,13,15)",Cc1ccc(NC(=O)c2ccco2)c([N+](=O)[O-])c1,590.1298082743322,False,['79324-93-9'],1.8582911138
POOL-00011889,"InChI=1S/C12H8FNO3/c13-8-3-1-4-9(7-8)17-11-10(12(15)16)5-2-6-14-11/h1-7H,(H,15,16)",O=C(O)c1cccnc1Oc1cccc(F)c1,556.9519342475284,False,['54629-12-8'],1.8299348329
POOL-00006853,"InChI=1S/C11H9BrN2O3/c12-8-2-1-3-9(6-8)17-7-14-5-4-10(13-14)11(15)16/h1-6H,7H2,(H,15,16)",O=C(O)c1ccn(COc2cccc(Br)c2)n1,539.0177428210499,False,['1006487-34-8'],1.8416905493
POOL-00003938,"InChI=1S/C12H11NO3/c14-12(15)7-6-10-8-11(16-13-10)9-4-2-1-3-5-9/h1-5,8H,6-7H2,(H,14,15)",O=C(O)CCc1cc(-c2ccccc2)on1,476.018912079885,False,['3919-86-6'],1.8404816713
POOL-00018733,"InChI=1S/C11H9BrN2O3/c12-8-1-3-9(4-2-8)17-7-14-6-5-10(13-14)11(15)16/h1-6H,7H2,(H,15,16)",O=C(O)c1ccn(COc2ccc(Br)cc2)n1,521.7677428210498,False,['956573-70-9'],1.8439565924
POOL-00030521,"InChI=1S/C13H10N2O2/c16-9-10-8-12(6-7-13(10)17)15-14-11-4-2-1-3-5-11/h1-9,17H",O=Cc1cc(N=Nc2ccccc2)ccc1O,550.6008499644516,False,"['151726-58-8', '27147-03-1']",1.8292848316
POOL-00010411,"InChI=1S/C12H7BrFNO3/c13-9-6-7(14)3-4-10(9)18-11-8(12(16)17)2-1-5-15-11/h1-6H,(H,16,17)",O=C(O)c1cccnc1Oc1ccc(F)cc1Br,603.626436257062,False,['954563-46-3'],1.8252941856
POOL-00006937,"InChI=1S/C11H9NO3/c1-7-2-4-8(5-3-7)9-6-10(11(13)14)15-12-9/h2-6H,1H3,(H,13,14)",Cc1ccc(-c2cc(C(=O)O)on2)cc1,484.7890706468072,False,['134378-95-3'],1.8319921412
POOL-00011829,InChI=1S/C12H8N2O3/c15-8-10-4-2-6-12(13-10)9-3-1-5-11(7-9)14(16)17/h1-8H,O=Cc1cccc(-c2cccc([N+](=O)[O-])c2)n1,581.4683538445398,False,['52583-70-7'],1.8468928832
POOL-00028849,"InChI=1S/C14H12N2O3/c1-10-7-8-11(9-13(10)16(18)19)14(17)15-12-5-3-2-4-6-12/h2-9H,1H3,(H,15,17)",Cc1ccc(C(O)=Nc2ccccc2)cc1[N+](=O)[O-],636.3942659022198,False,['5344-15-0'],1.8567760254
POOL-00026107,"InChI=1S/C10H6BrNO3/c11-7-3-1-6(2-4-7)9-5-8(10(13)14)12-15-9/h1-5H,(H,13,14)",O=C(O)c1cc(-c2ccc(Br)cc2)on1,489.6235375029438,False,"['33282-23-4', '901930-35-6']",1.8362460349
POOL-00009846,"InChI=1S/C12H10BrNO3/c13-9-3-1-8(2-4-9)10-7-14-11(17-10)5-6-12(15)16/h1-4,7H,5-6H2,(H,15,16)",O=C(O)CCc1ncc(-c2ccc(Br)cc2)o1,518.8019406174063,False,['23464-96-2'],1.8391462886
POOL-00009987,"InChI=1S/C12H10BrNO3/c13-9-3-1-8(2-4-9)11-7-10(14-17-11)5-6-12(15)16/h1-4,7H,5-6H2,(H,15,16)",O=C(O)CCc1cc(-c2ccc(Br)cc2)on1,518.8019406174063,False,['870703-99-4'],1.8396970871
POOL-00029735,"InChI=1S/C11H9NO3/c1-7-2-4-8(5-3-7)10-6-9(11(13)14)12-15-10/h2-6H,1H3,(H,13,14)",Cc1ccc(-c2cc(C(=O)O)no2)cc1,484.7890706468072,False,['33282-21-2'],1.8406023808
POOL-00012875,"InChI=1S/C11H9BrN2O3/c12-8-3-1-7(2-4-8)11-13-9(17-14-11)5-6-10(15)16/h1-4H,5-6H2,(H,15,16)",O=C(O)CCc1nc(-c2ccc(Br)cc2)no1,521.76774282105,False,['30149-94-1'],1.8643985637
POOL-00017235,"InChI=1S/C14H12N2O3/c1-15(14(17)11-5-3-2-4-6-11)12-7-9-13(10-8-12)16(18)19/h2-10H,1H3",CN(C(=O)c1ccccc1)c1ccc([N+](=O)[O-])cc1,593.8479587106419,False,['33672-82-1'],1.833166665
POOL-00042138,"InChI=1S/C15H10N2O2/c18-10-16-14-5-1-12(2-6-14)9-13-3-7-15(8-4-13)17-11-19/h1-8H,9H2",O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,588.0498592306847,False,"['101-68-8', '26447-40-5', '65916-89-4', '25686-28-6']",1.8175486868
POOL-00026269,"InChI=1S/C12H11NO3/c1-8-10(7-11(14)15)13-12(16-8)9-5-3-2-4-6-9/h2-6H,7H2,1H3,(H,14,15)",Cc1oc(-c2ccccc2)nc1CC(=O)O,502.23735409867146,False,['107367-98-6'],1.8271765664
POOL-00001512,"InChI=1S/C12H11BrN2O3/c1-2-17-12(16)10-9(11(14)18-15-10)7-3-5-8(13)6-4-7/h3-6H,2,14H2,1H3",CCOC(=O)c1noc(N)c1-c1ccc(Br)cc1,563.2015417499622,False,['925007-20-1'],1.8362886225
